"Ref_lead_author","Ref_publication_date","Ref_title","Ref_html_link","Ref_DOI_number","Application","Application_specific","Mode","Tribopositive","Tribonegative","Electrode","Open_circuit_voltage","Short_circuit_current","Power_density","Current_density","Charge_density","Thickness","Area","Operating_frequency"
"Raheleh Mohammadpour","2017/11/27","Flexible Triboelectric Nanogenerator Based on High Surface Area TiO2 Nanotube Arrays","https://onlinelibrary.wiley.com/doi/full/10.1002/adem.201700767","10.1002/adem.201700767","sensor","","contact-separation","","Kapton","titanium","40 V","","","1 μA cm−2","","electrode 20 nm ","",""
"Yuhang Xie","2017/11/23","Intelligent Sensing System Based on Hybrid Nanogenerator by Harvesting Multiple Clean Energy","https://onlinelibrary.wiley.com/doi/full/10.1002/adem.201700886","10.1002/adem.201700886","energy harvester","use of energy from wind","","aluminum","polytetrafluoroethylene","copper","12 V","14 mA","","","","","",""
"Zia Saadatnia","2018/02/27","High Performance Triboelectric Nanogenerator by Hot Embossing on Self-Assembled Micro-Particles","https://onlinelibrary.wiley.com/doi/full/10.1002/adem.201700957","10.1002/adem.201700957","energy harvester","use of energy from water/fluid","","nylon","FEP","","24 V","3.2 µA","","","","","","5 Hz"
"Jelmy Elavathingal Johny","2023/05/03","Enhanced Mechanical Energy Harvesting in Triboelectric Nanogenerator by the Reinforcement of Polypyrrole-Decorated rGO Sheets in PDMS","https://onlinelibrary.wiley.com/doi/full/10.1002/adem.202201789","10.1002/adem.202201789","energy harvester","use of energy from motion","","","polydimethylsiloxane","Al","20 V","16 μA","","","","","",""
"Chuqiao Feng","2024/08/07","Integrated Triboelectric Nanogenerator for Energy Harvesting: Efficient Absorption of Wind in 6–16 m s−1 Velocity Range and Wave Energy","https://onlinelibrary.wiley.com/doi/full/10.1002/adem.202400987","10.1002/adem.202400987","energy harvester","use of energy from wind","","fur","fluorinated ethylene propylene","copper","100 V","","","","","","","0.8 Hz"
"Zhenyao Ma","2024/10/21","A Hybrid Harvesting Method for Multiple Marine Renewable Energy Sources Based on Microthermoelectric Generator and Triboelectric Nanogenerator","https://onlinelibrary.wiley.com/doi/full/10.1002/adem.202401486","10.1002/adem.202401486","energy harvester","use of energy from wind","","nylon","fluorinated ethylene propylene","copper","","","","","","","","2 Hz"
"Hulin Zhang","2013/10/08","Triboelectric Nanogenerator for Harvesting Vibration Energy in Full Space and as Self-Powered Acceleration Sensor","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.201302453","10.1002/adfm.201302453","energy harvester","use of energy from water/fluid","contact-separation","","","Al","57 V","","","","","","12.6 cm2","10 Hz"
"Gang Cheng","2014/01/22","Increase Output Energy and Operation Frequency of a Triboelectric Nanogenerator by Two Grounded Electrodes Approach","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.201303659","10.1002/adfm.201303659","","","contact-separation","","PDMS","Al","232 V","16.5 μA","","","","electrode 100 nm ","4 cm2","50 Hz"
"Weiqing Yang","2014/03/24","3D Stack Integrated Triboelectric Nanogenerator for Harvesting Vibration Energy","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.201304211","10.1002/adfm.201304211","energy harvester","use of energy from motion","contact-separation","","","copper","303 V","1.14 mA","104.6 W m−2","","","","","40 Hz"
"Wenxi Guo","2014/08/26","Electrochemical Cathodic Protection Powered by Triboelectric Nanogenerator","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.201401168","10.1002/adfm.201401168","energy harvester","use of energy from water/fluid","","aluminum","Kapton","platinum","310 V","","3.1 W/m2","10.1 mA/m2","","","31.8 cm2","0.1 Hz"
"Fang Yi","2015/05/08","Stretchable-Rubber-Based Triboelectric Nanogenerator and Its Application as Self-Powered Body Motion Sensors","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.201500428","10.1002/adfm.201500428","sensor","tactile/motion sensor","","aluminum","","aluminum","65 V","","76.27 μW m−2","7.5 μA m−2","9 μC m−2","","",""
"Min-Hsin Yeh","2015/12/21","Rolling Friction Enhanced Free-Standing Triboelectric Nanogenerators and their Applications in Self-Powered Electrochemical Recovery Systems","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.201504396","10.1002/adfm.201504396","sensor","tactile/motion sensor","","","FEP","copper","650 V","240 μA","","","","","",""
